============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(2 MeV) ==> PMMA(  5 um) ================================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  202  1 .1917760E+07   5000203E-02 -.1635E+02  .2837E+02   .9999911 -.0031855  .0027603
T  203  1 .1917315E+07   5000063E-02  .1421E+03  .6099E+03   .9998737  .0044792  .0152488
T  204  1 .1924038E+07   5000210E-02 -.4295E+02  .1531E+03   .9999770  .0002033  .0067786
T  205  1 .1926500E+07   5000123E-02 -.2648E+02  .2422E+02   .9999831 -.0020873  .0054208
T  206  1 .1923776E+07   5000007E-02  .1218E+03  .8932E+02   .9999668  .0063336  .0051333
T  207  1 .1906483E+07   5000207E-02 -.8054E+02  .1177E+02   .9999456  .0094219  .0044855
T  208  1 .1929875E+07   5000161E-02 -.1576E+03  .5861E+02   .9999681 -.0076661  .0022536
T  209  1 .1917824E+07   5000219E-02  .1470E+03 -.3831E+03   .9998392  .0051903 -.0171660
T  210  1 .1924637E+07   5000221E-02  .1492E+03 -.9729E+02   .9999902  .0034711 -.0027573
T  211  1 .1921453E+07   5000138E-02  .2457E+03  .2173E+03   .9998928  .0109218  .0097499
T  212  1 .1921170E+07   5000188E-02  .2144E+03 -.1309E+03   .9997436  .0170196 -.0149322
T  213  1 .1918885E+07   5000163E-02 -.1661E+02 -.1995E+02   .9999863 -.0016939 -.0049567
T  214  1 .1926451E+07   5000152E-02  .8854E+02 -.1896E+03   .9999493  .0021291 -.0098460
T  215  1 .1922693E+07   5000040E-02 -.1279E+03  .2126E+02   .9999622 -.0059366  .0063492
T  216  1 .1926906E+07   5000051E-02 -.1025E+03 -.7499E+02   .9999909 -.0040842 -.0012435
T  217  1 .1920815E+07   5000191E-02  .1896E+02 -.5356E+02   .9999849  .0042726 -.0034666
